image_url,question,response1,response2,judgement,Chosen,Rejected
http://images.cocodataset.org/train2017/000000053825.jpg,Question: What do you see happening in this image? Answer:,"The ball is being pitched, the batter is about to hit it, the catcher is catching the ball and the umpire is watching from behind home plate",A baseball game played between the Washington Nationals and the Miami Marlins,2,A baseball game played between the Washington Nationals and the Miami Marlins,"The ball is being pitched, the batter is about to hit it, the catcher is catching the ball and the umpire is watching from behind home plate"
http://images.cocodataset.org/train2017/000000100901.jpg,Question: How many cars are visible in the image? Answer:,Zero cars,,2,,Zero cars
http://images.cocodataset.org/train2017/000000154794.jpg,Question: How might the couple feel in this setting? Answer:,"A picnic in the middle of everything, a picnic in the middle of everything!",The couple is in love - they are very happy,2,The couple is in love - they are very happy,"A picnic in the middle of everything, a picnic in the middle of everything!"
http://images.cocodataset.org/train2017/000000338884.jpg,Question: What are the advantages of the man engaging in outdoor activities with his dog during winter? Answer:,It is good for their health!,The man can cross-country ski with his dog,2,The man can cross-country ski with his dog,It is good for their health!
http://images.cocodataset.org/train2017/000000196545.jpg,Question: Can you describe some popular hot dog toppings? Answer:,"""Anything you want"".",,2,,"""Anything you want""."
http://images.cocodataset.org/train2017/000000499700.jpg,Question: Can you elaborate on the elements of the picture provided? Answer:,"Yes, but I don't have time right now.",Yes.,2,Yes.,"Yes, but I don't have time right now."
http://images.cocodataset.org/train2017/000000157032.jpg,Question: Why might someone have left the hat on the bench? Answer:,"Possibly for a long or short amount of time, the person just forgot about the hat so long as it was not too cold nor too warm",To be funny,2,To be funny,"Possibly for a long or short amount of time, the person just forgot about the hat so long as it was not too cold nor too warm"
http://images.cocodataset.org/train2017/000000412400.jpg,Question: What would be the main challenges for someone attempting to eat this sandwich? Answer:,,Not a lot!,2,Not a lot!,
http://images.cocodataset.org/train2017/000000281177.jpg,Question: What might be the possible context for this image? Answer:,"""A procession in downtown saigon during the 2016 philippine independence day celebrations"" – via philippinews",A pageant and a parade,2,A pageant and a parade,"""A procession in downtown saigon during the 2016 philippine independence day celebrations"" – via philippinews"
http://images.cocodataset.org/train2017/000000117140.jpg,Question: What kind of impression does the lighting in the bedroom give? Answer:,"Dim light is most conducive to sleep, especially in a bedroom with a soft floor",The bedroom has a dark look. The lighting in the bedroom gives a dark impression. The bedroom has a dark look. The lighting in the bedroom gives a dark impression.,2,The bedroom has a dark look. The lighting in the bedroom gives a dark impression. The bedroom has a dark look. The lighting in the bedroom gives a dark impression.,"Dim light is most conducive to sleep, especially in a bedroom with a soft floor"
http://images.cocodataset.org/train2017/000000060567.jpg,Question: What type of cell phone is the man using? Answer:,A,A blackberry,1,A,A blackberry
http://images.cocodataset.org/train2017/000000509677.jpg,Question: What is this photo about'? Answer:,"At the Jersey shore it's a beach, restaurants, and coolers",It's a barbeque on a beach.,1,"At the Jersey shore it's a beach, restaurants, and coolers",It's a barbeque on a beach.
http://images.cocodataset.org/train2017/000000530408.jpg,Question: What possible event could be taking place in this scene? Answer:,A wedding - any event would be on a street in the city,probably nothing.,2,probably nothing.,A wedding - any event would be on a street in the city
http://images.cocodataset.org/train2017/000000080293.jpg,Question: Can you describe the main features of this image for me? Answer:,The main features of the picture are as seen in the picture. There are several teams on the field who are also at the stadium.,"The main features of this image are a baseball game, a baseball game, a baseball game, a baseball game, and a baseball game",2,"The main features of this image are a baseball game, a baseball game, a baseball game, a baseball game, and a baseball game",The main features of the picture are as seen in the picture. There are several teams on the field who are also at the stadium.
http://images.cocodataset.org/train2017/000000345047.jpg,"Question: Considering the table setting shown in the image, how many people can be accommodated for the meal, and what could be one possible reason for the flowers in the middle of the table? Answer:","The dining room pictured here is a family room, and would probably seat around 4 people.",A total of 4,2,A total of 4,"The dining room pictured here is a family room, and would probably seat around 4 people."
http://images.cocodataset.org/train2017/000000091177.jpg,Question: What safety measures should be considered at this location? Answer:,There aren't any!,,1,There aren't any!,
http://images.cocodataset.org/train2017/000000541440.jpg,Question: What makes Roger Federer a great tennis player? Answer:,His tennis wrist,His skill with the tennis racket,2,His skill with the tennis racket,His tennis wrist
http://images.cocodataset.org/train2017/000000032220.jpg,Question: What type of boats are in the image? Answer:,fishing boats,fishing boats,2,fishing boats,fishing boats
http://images.cocodataset.org/train2017/000000155652.jpg,Question: What does the scene suggest about the event taking place? Answer:,What is this event?,The scene is of a bicycle race in a city street,2,The scene is of a bicycle race in a city street,What is this event?
http://images.cocodataset.org/train2017/000000242163.jpg,Question: How can a person enjoy their time at this park on a cloudy day? Answer:,"With people and food all over the lawn, you'd have to walk right through to enjoy the park.",There is a pavilion which is open to the air,2,There is a pavilion which is open to the air,"With people and food all over the lawn, you'd have to walk right through to enjoy the park."
http://images.cocodataset.org/train2017/000000097170.jpg,Question: What can be inferred about the relationship between the little girl and the large teddy bear next to her? Answer:,the girl is probably the same age as her teddy bear,the girl is a very good girl,2,the girl is a very good girl,the girl is probably the same age as her teddy bear
http://images.cocodataset.org/train2017/000000302102.jpg,Question: What might these snowboarders enjoy doing together? Answer:,Snowboarding together,Watching the sunset while holding their snowboards,2,Watching the sunset while holding their snowboards,Snowboarding together
http://images.cocodataset.org/train2017/000000492995.jpg,Question: What can you deduce about the current state and history of the area? Answer:,it has been vacant and used for years,This is an abandoned train station,2,This is an abandoned train station,it has been vacant and used for years
http://images.cocodataset.org/train2017/000000473575.jpg,Question: Write a detailed description of the given image. Answer:,"A man and two children sitting in front of an open door, watching a television as a woman sits in a recliner and looks on, a man is standing in front of the television",A couple of people are watching a movie on a tv,2,A couple of people are watching a movie on a tv,"A man and two children sitting in front of an open door, watching a television as a woman sits in a recliner and looks on, a man is standing in front of the television"
http://images.cocodataset.org/train2017/000000194677.jpg,Question: What crucial aspect of success should the baseball player focus on while at bat? Answer:,The swing,Concentration,2,Concentration,The swing
http://images.cocodataset.org/train2017/000000139012.jpg,Question: What's happening in the scene? Answer:,Clock show  Photo by: fasano,Lots of clocks and watches here!,2,Lots of clocks and watches here!,Clock show  Photo by: fasano
http://images.cocodataset.org/train2017/000000090782.jpg,Question: What types of events might the owner of this refrigerator be preparing for? Answer:,Nothing.,I don't know.,1,Nothing.,I don't know.
http://images.cocodataset.org/train2017/000000057480.jpg,"Question: What type of skiing is this person likely participating in, given that they are performing a jump? Answer:",Parkour,Freestyle,1,Parkour,Freestyle
http://images.cocodataset.org/train2017/000000080404.jpg,Question: What possible reason could there be for the man observing the parrot in this setting? Answer:,Parrots fly,"There is no reason.



     - j-w",2,"There is no reason.



     - j-w",Parrots fly
http://images.cocodataset.org/train2017/000000261432.jpg,Question: What challenges may the surfer face during this ride? Answer:,There is only a single wave in this photo and there is no risk of getting a face full of water. So in that regard it might be considered a rather pleasant experience.,"the surfer will be tested, but he will be rewarded",2,"the surfer will be tested, but he will be rewarded",There is only a single wave in this photo and there is no risk of getting a face full of water. So in that regard it might be considered a rather pleasant experience.
http://images.cocodataset.org/train2017/000000274085.jpg,Question: What are some possible uses for the setup with the desktop computer and tablet on the desk? Answer:,As I do a bit of coding for a side project,"A computer lab, office or classroom",2,"A computer lab, office or classroom",As I do a bit of coding for a side project
http://images.cocodataset.org/train2017/000000119441.jpg,Question: What are some potential risks the woman might face while practicing in this location? Answer:,The risk of learning to skateboard with no instruction,You'll probably die,2,You'll probably die,The risk of learning to skateboard with no instruction
http://images.cocodataset.org/train2017/000000564729.jpg,Question: Why do people take pictures of their food? Answer:,To satisfy their hunger pangs.,Because they don't get enough to eat.,2,Because they don't get enough to eat.,To satisfy their hunger pangs.
http://images.cocodataset.org/train2017/000000214445.jpg,"Question: What could be the purpose of their visit to the forest, and what could it be an indication of? Answer:","an indication of a friendship, a happy relationship, a good mood, or a good dayI'm a female, but would love to have a female in game friend :)",a nice picnic,1,"an indication of a friendship, a happy relationship, a good mood, or a good dayI'm a female, but would love to have a female in game friend :)",a nice picnic
http://images.cocodataset.org/train2017/000000118920.jpg,Question: Analyze the image in a comprehensive and detailed manner. Answer:,,"The airplane has a box that is sitting on the wing, the box is made of white metal",2,"The airplane has a box that is sitting on the wing, the box is made of white metal",
http://images.cocodataset.org/train2017/000000162520.jpg,Question: What can we infer about the surfers' intentions in the image? Answer:,Surfers are probably about to go surfing,They're all just out for some fun.,2,They're all just out for some fun.,Surfers are probably about to go surfing
http://images.cocodataset.org/train2017/000000026748.jpg,Question: What can you tell me about the atmosphere and the purpose of this gathering at the park? Answer:,"I'm not sure, but it seems to be a kite fest?",It's a kite festival,2,It's a kite festival,"I'm not sure, but it seems to be a kite fest?"
http://images.cocodataset.org/train2017/000000342150.jpg,Question: What could the animals be looking at outside the glass door or window? Answer:,a window,The sky!,1,a window,The sky!
http://images.cocodataset.org/train2017/000000120613.jpg,Question: What environmental elements might these beachgoers need to consider while relaxing at the beach? Answer:,"Trees, maybe?",Sunscreen.,2,Sunscreen.,"Trees, maybe?"
http://images.cocodataset.org/train2017/000000005615.jpg,Question: How is the sandwich and its accompaniments arranged on the plate? Answer:,"This is a sandwich which consists of sliced mushrooms, cheese, tomato, red onion, and a roasted red pepper spread atop a tomato.",The sandwich is cut in half,2,The sandwich is cut in half,"This is a sandwich which consists of sliced mushrooms, cheese, tomato, red onion, and a roasted red pepper spread atop a tomato."
http://images.cocodataset.org/train2017/000000577830.jpg,Question: What can you infer about the atmosphere of this gathering? Answer:,Warm and pleasant,Dinner is served!,2,Dinner is served!,Warm and pleasant
http://images.cocodataset.org/train2017/000000393176.jpg,"Question: How would you describe the overall organization of the books, photos, and scissors in the image? Answer:",Excellent,Organized,1,Excellent,Organized
http://images.cocodataset.org/train2017/000000321635.jpg,Question: What seems to be the focus of this gathering? Answer:,Computers,A machine that can be used to make digital images,2,A machine that can be used to make digital images,Computers
http://images.cocodataset.org/train2017/000000471995.jpg,Question: What risks and challenges do skateboarders face when practicing in this park? Answer:,,the risks are high as the park is not built to accomodate the many skaters that use the facility,2,the risks are high as the park is not built to accomodate the many skaters that use the facility,
http://images.cocodataset.org/train2017/000000237658.jpg,Question: What potential risks does the skateboarder face during the trick at the skate park? Answer:,There is the potential risk of crashing on the ramps,"None, the skateboarder is wearing very protective gear",2,"None, the skateboarder is wearing very protective gear",There is the potential risk of crashing on the ramps
http://images.cocodataset.org/train2017/000000119101.jpg,Question: What could be some possible reasons for having a darkly lit living room with a large picture window? Answer:,The living room could be a theater room or a bedroom in the home the house is in,It's probably because it's daylight out there and the sun is shining in the window,2,It's probably because it's daylight out there and the sun is shining in the window,The living room could be a theater room or a bedroom in the home the house is in
http://images.cocodataset.org/train2017/000000410175.jpg,Question: Can you describe the main features of this image for me? Answer:,the sky in the foreground and the mountain behind them,This is a picture of a group of people skiing or snowboarding on a hill on the mountain,2,This is a picture of a group of people skiing or snowboarding on a hill on the mountain,the sky in the foreground and the mountain behind them
http://images.cocodataset.org/train2017/000000210752.jpg,Question: What is this photo about'? Answer:,Some desserts,"this photo is about a small table with many small plates, pies and cakes",1,Some desserts,"this photo is about a small table with many small plates, pies and cakes"
http://images.cocodataset.org/train2017/000000117283.jpg,Question: What could be a theme for a unique event featuring these motorcycles? Answer:,Art,A motorcycle rally,1,Art,A motorcycle rally
http://images.cocodataset.org/train2017/000000183611.jpg,Question: What challenges might these bears face in their natural habitat? Answer:,"Many bears like their surroundings to be relatively still & tranquil. They don't like people to disturb the natural order of things. They're happy & often a-visiting in nature sanctuaries or other facilities. It helps keep their numbers low,",,2,,"Many bears like their surroundings to be relatively still & tranquil. They don't like people to disturb the natural order of things. They're happy & often a-visiting in nature sanctuaries or other facilities. It helps keep their numbers low,"
http://images.cocodataset.org/train2017/000000090122.jpg,Question: What is the purpose of the barstools in the kitchen? Answer:,To add some glamour with a glass of wine next,for the convenience of the guests,2,for the convenience of the guests,To add some glamour with a glass of wine next
http://images.cocodataset.org/train2017/000000443749.jpg,"Question: What kind of an area is depicted in the picture - rural, suburban, or urban? Answer:","None! The picture was taken in the rainy weather outside of a Chase Bank in Boston, MA, on Thursday, September 17, 2015. This is a typical street scene in the city",Rural,2,Rural,"None! The picture was taken in the rainy weather outside of a Chase Bank in Boston, MA, on Thursday, September 17, 2015. This is a typical street scene in the city"
http://images.cocodataset.org/train2017/000000360399.jpg,Question: Write a detailed description of the given image. Answer:,,The skateboard is in the air,1,,The skateboard is in the air
http://images.cocodataset.org/train2017/000000115515.jpg,Question: What can you infer about the airplane from the image? Answer:,that maybe it's enroute from barcelona to an airport,It's a jetliner,2,It's a jetliner,that maybe it's enroute from barcelona to an airport
http://images.cocodataset.org/train2017/000000116326.jpg,Question: Describe the following image. Answer:,An image of a room of people seated at a table eating their meals inside with a tv showing in the background.,A large group of people sitting around a table eating food,1,An image of a room of people seated at a table eating their meals inside with a tv showing in the background.,A large group of people sitting around a table eating food
http://images.cocodataset.org/train2017/000000523405.jpg,Question: What kind of interaction or behavior might these three birds be displaying? Answer:,The birds are probably standing here to get more sun,Sand Pigeons,2,Sand Pigeons,The birds are probably standing here to get more sun
http://images.cocodataset.org/train2017/000000024520.jpg,Question: What are the key steps they need to consider to maintain a safe cooking environment in the kitchen? Answer:,The key factors of safe food handling is to: keep foods cold: wash food before and after preparing it; keep food and utensils separated; use utensils in a clean way; clean utensils immediately after serving food; and use,they need to talk about it,1,The key factors of safe food handling is to: keep foods cold: wash food before and after preparing it; keep food and utensils separated; use utensils in a clean way; clean utensils immediately after serving food; and use,they need to talk about it
http://images.cocodataset.org/train2017/000000406924.jpg,Question: Can you elaborate on the elements of the picture provided? Answer:,the large kites flying above the sand and below the sign and beach,"I do not know if I can. I took this photo in the early morning and on the beach, the elements are light and shadows.",2,"I do not know if I can. I took this photo in the early morning and on the beach, the elements are light and shadows.",the large kites flying above the sand and below the sign and beach
http://images.cocodataset.org/train2017/000000127871.jpg,"Question: How might a toilet bowl end up on the side of the road, and what does that say about the situation in the image? Answer:",it says more about where the toilet bowl is now than the situation at the time when this was taken,a toilet.,2,a toilet.,it says more about where the toilet bowl is now than the situation at the time when this was taken
http://images.cocodataset.org/train2017/000000422866.jpg,Question: What is the relationship between the food items on the plate and a balanced diet? Answer:,A good one,It's all about balance.,2,It's all about balance.,A good one
http://images.cocodataset.org/train2017/000000076856.jpg,Question: What can one infer about the person sleeping in this bed? Answer:,"Probably not much at all, unless you have some insight","the person is a heavy sleeper, and has a tendency to wake up during the night.",2,"the person is a heavy sleeper, and has a tendency to wake up during the night.","Probably not much at all, unless you have some insight"
http://images.cocodataset.org/train2017/000000036123.jpg,"Question: What type of setting could this image be taken in? For example, a classroom, office, or conference? Answer:",Outdoor,"Outdoor event, with indoor lighting.",2,"Outdoor event, with indoor lighting.",Outdoor
http://images.cocodataset.org/train2017/000000327157.jpg,Question: What should be done to improve the bedroom's appearance? Answer:,Use wallpaper on the wall,Use a table,1,Use wallpaper on the wall,Use a table
http://images.cocodataset.org/train2017/000000523164.jpg,Question: What is this photo about'? Answer:,Three kids at the big table,kids eating pancakes,2,kids eating pancakes,Three kids at the big table
http://images.cocodataset.org/train2017/000000238905.jpg,Question: What factors could affect the success of the baseball player's swing in this particular situation? Answer:,"The batter's view, the catcher's view, and the batter's height could all be factors on how the batter's swing performs, resulting in different outcomes","The batter's stance, the pitcher's speed, the catcher's speed, the batter's ability to handle the ball, and the field conditions",2,"The batter's stance, the pitcher's speed, the catcher's speed, the batter's ability to handle the ball, and the field conditions","The batter's view, the catcher's view, and the batter's height could all be factors on how the batter's swing performs, resulting in different outcomes"
http://images.cocodataset.org/train2017/000000140426.jpg,Question: What precautions should the owner of the boat consider for its safety? Answer:,Make sure it goes into a lake with water in it before going into the water,Boat is not in a good condition,2,Boat is not in a good condition,Make sure it goes into a lake with water in it before going into the water
http://images.cocodataset.org/train2017/000000481796.jpg,Question: Explain the visual content of the image in great detail. Answer:,"The monitor is showing the computer with all the programs on it, and the mouse is over two monitor. The desk is set up with a monitor and the keyboard and mouse on top of a desk with a table and papers on it.",The computer screen is displaying the report with the number of the car in the bottom right hand corner,2,The computer screen is displaying the report with the number of the car in the bottom right hand corner,"The monitor is showing the computer with all the programs on it, and the mouse is over two monitor. The desk is set up with a monitor and the keyboard and mouse on top of a desk with a table and papers on it."
http://images.cocodataset.org/train2017/000000259715.jpg,Question: What do you think is going on in this snapshot? Answer:,Motorcycle racing,Motorcycles racing around a bend,2,Motorcycles racing around a bend,Motorcycle racing
http://images.cocodataset.org/train2017/000000359778.jpg,Question: What advice can be given to ensure these skateboarders have an enjoyable and safe experience during the competition? Answer:,"You can take them to a skating park first to learn tricks, and then the judges will decide if they have improved enough skillwise to try out the competition at the actual day of the competition",Keep your eyes on the prize,2,Keep your eyes on the prize,"You can take them to a skating park first to learn tricks, and then the judges will decide if they have improved enough skillwise to try out the competition at the actual day of the competition"
http://images.cocodataset.org/train2017/000000056118.jpg,Question: Why can skateboarding on handrails be dangerous? Answer:,For a better view of the action,Because it can be,2,Because it can be,For a better view of the action
http://images.cocodataset.org/train2017/000000266773.jpg,Question: Is skateboarding popular as a mode of transportation or just for leisure and exercise? Answer:,I'm not sure.,Both,2,Both,I'm not sure.
http://images.cocodataset.org/train2017/000000136764.jpg,Question: What could be the possible uses of an armoire or wardrobe in a bedroom? Answer:,in case of having a guest (you),It's a great place to put your clothes!,2,It's a great place to put your clothes!,in case of having a guest (you)
http://images.cocodataset.org/train2017/000000461908.jpg,Question: What additional challenge might the woman face while decorating the cake? Answer:,Her life is on the line,"In her desire to make the cake look just right, the woman will be adding icing to the cake",2,"In her desire to make the cake look just right, the woman will be adding icing to the cake",Her life is on the line
http://images.cocodataset.org/train2017/000000041305.jpg,Question: What are the benefits of having a buffet-style picnic by the water? Answer:,"Plenty of opportunities to get wet, and to eat well, when nature is calling","Better food, less work, and more fun",2,"Better food, less work, and more fun","Plenty of opportunities to get wet, and to eat well, when nature is calling"
http://images.cocodataset.org/train2017/000000286525.jpg,"Question: What decorative elements are there in the bathroom, aside from the standard fixtures? Answer:",none (photo courtesy of homeadvisor.com),"the sinks, the mirrors, the towels, the shower curtain, the tub, the toilet, the sink faucets and the floor tiles",2,"the sinks, the mirrors, the towels, the shower curtain, the tub, the toilet, the sink faucets and the floor tiles",none (photo courtesy of homeadvisor.com)
http://images.cocodataset.org/train2017/000000472938.jpg,Question: What's happening in the scene? Answer:,A man sitting outside reading a book on a bench with a tree growing on it,The owner of the house is taking a break in the backyard,2,The owner of the house is taking a break in the backyard,A man sitting outside reading a book on a bench with a tree growing on it
http://images.cocodataset.org/train2017/000000305573.jpg,Question: What can we infer about the likely utility and importance of bicycles in this setting? Answer:,"If one is a good rider, and if it's a safe place, bicycle traffic can be a nuisance because there may be too many riders occupying the same space. The rider in the background appears to be wearing an expensive dress for some purpose with a",What can we infer about the likely utility and importance of bicycles in this setting?,2,What can we infer about the likely utility and importance of bicycles in this setting?,"If one is a good rider, and if it's a safe place, bicycle traffic can be a nuisance because there may be too many riders occupying the same space. The rider in the background appears to be wearing an expensive dress for some purpose with a"
