image_url,question,response1,response2,judgement
http://images.cocodataset.org/train2017/000000117140.jpg,Question: What kind of impression does the lighting in the bedroom give? Answer:,"Dim light is most conducive to sleep, especially in a bedroom with a soft floor",The bedroom has a dark look. The lighting in the bedroom gives a dark impression. The bedroom has a dark look. The lighting in the bedroom gives a dark impression.,2
http://images.cocodataset.org/train2017/000000060567.jpg,Question: What type of cell phone is the man using? Answer:,A,A blackberry,1
http://images.cocodataset.org/train2017/000000509677.jpg,Question: What is this photo about'? Answer:,"At the Jersey shore it's a beach, restaurants, and coolers",It's a barbeque on a beach.,1
http://images.cocodataset.org/train2017/000000530408.jpg,Question: What possible event could be taking place in this scene? Answer:,A wedding - any event would be on a street in the city,probably nothing.,2
http://images.cocodataset.org/train2017/000000080293.jpg,Question: Can you describe the main features of this image for me? Answer:,The main features of the picture are as seen in the picture. There are several teams on the field who are also at the stadium.,"The main features of this image are a baseball game, a baseball game, a baseball game, a baseball game, and a baseball game",2
http://images.cocodataset.org/train2017/000000345047.jpg,"Question: Considering the table setting shown in the image, how many people can be accommodated for the meal, and what could be one possible reason for the flowers in the middle of the table? Answer:","The dining room pictured here is a family room, and would probably seat around 4 people.",A total of 4,2
http://images.cocodataset.org/train2017/000000091177.jpg,Question: What safety measures should be considered at this location? Answer:,There aren't any!,,1
http://images.cocodataset.org/train2017/000000541440.jpg,Question: What makes Roger Federer a great tennis player? Answer:,His tennis wrist,His skill with the tennis racket,2
http://images.cocodataset.org/train2017/000000032220.jpg,Question: What type of boats are in the image? Answer:,fishing boats,fishing boats,2
http://images.cocodataset.org/train2017/000000155652.jpg,Question: What does the scene suggest about the event taking place? Answer:,What is this event?,The scene is of a bicycle race in a city street,2
http://images.cocodataset.org/train2017/000000242163.jpg,Question: How can a person enjoy their time at this park on a cloudy day? Answer:,"With people and food all over the lawn, you'd have to walk right through to enjoy the park.",There is a pavilion which is open to the air,2
http://images.cocodataset.org/train2017/000000097170.jpg,Question: What can be inferred about the relationship between the little girl and the large teddy bear next to her? Answer:,the girl is probably the same age as her teddy bear,the girl is a very good girl,2
http://images.cocodataset.org/train2017/000000302102.jpg,Question: What might these snowboarders enjoy doing together? Answer:,Snowboarding together,Watching the sunset while holding their snowboards,2
http://images.cocodataset.org/train2017/000000492995.jpg,Question: What can you deduce about the current state and history of the area? Answer:,it has been vacant and used for years,This is an abandoned train station,2
http://images.cocodataset.org/train2017/000000473575.jpg,Question: Write a detailed description of the given image. Answer:,"A man and two children sitting in front of an open door, watching a television as a woman sits in a recliner and looks on, a man is standing in front of the television",A couple of people are watching a movie on a tv,2
http://images.cocodataset.org/train2017/000000194677.jpg,Question: What crucial aspect of success should the baseball player focus on while at bat? Answer:,The swing,Concentration,2
http://images.cocodataset.org/train2017/000000139012.jpg,Question: What's happening in the scene? Answer:,Clock show  Photo by: fasano,Lots of clocks and watches here!,2
http://images.cocodataset.org/train2017/000000090782.jpg,Question: What types of events might the owner of this refrigerator be preparing for? Answer:,Nothing.,I don't know.,1
http://images.cocodataset.org/train2017/000000057480.jpg,"Question: What type of skiing is this person likely participating in, given that they are performing a jump? Answer:",Parkour,Freestyle,1
http://images.cocodataset.org/train2017/000000080404.jpg,Question: What possible reason could there be for the man observing the parrot in this setting? Answer:,Parrots fly,"There is no reason.



     - j-w",2
http://images.cocodataset.org/train2017/000000261432.jpg,Question: What challenges may the surfer face during this ride? Answer:,There is only a single wave in this photo and there is no risk of getting a face full of water. So in that regard it might be considered a rather pleasant experience.,"the surfer will be tested, but he will be rewarded",2
http://images.cocodataset.org/train2017/000000274085.jpg,Question: What are some possible uses for the setup with the desktop computer and tablet on the desk? Answer:,As I do a bit of coding for a side project,"A computer lab, office or classroom",2
http://images.cocodataset.org/train2017/000000119441.jpg,Question: What are some potential risks the woman might face while practicing in this location? Answer:,The risk of learning to skateboard with no instruction,You'll probably die,2
http://images.cocodataset.org/train2017/000000564729.jpg,Question: Why do people take pictures of their food? Answer:,To satisfy their hunger pangs.,Because they don't get enough to eat.,2
http://images.cocodataset.org/train2017/000000214445.jpg,"Question: What could be the purpose of their visit to the forest, and what could it be an indication of? Answer:","an indication of a friendship, a happy relationship, a good mood, or a good dayI'm a female, but would love to have a female in game friend :)",a nice picnic,1
http://images.cocodataset.org/train2017/000000118920.jpg,Question: Analyze the image in a comprehensive and detailed manner. Answer:,,"The airplane has a box that is sitting on the wing, the box is made of white metal",2
http://images.cocodataset.org/train2017/000000162520.jpg,Question: What can we infer about the surfers' intentions in the image? Answer:,Surfers are probably about to go surfing,They're all just out for some fun.,2
http://images.cocodataset.org/train2017/000000026748.jpg,Question: What can you tell me about the atmosphere and the purpose of this gathering at the park? Answer:,"I'm not sure, but it seems to be a kite fest?",It's a kite festival,2
http://images.cocodataset.org/train2017/000000342150.jpg,Question: What could the animals be looking at outside the glass door or window? Answer:,a window,The sky!,1
http://images.cocodataset.org/train2017/000000120613.jpg,Question: What environmental elements might these beachgoers need to consider while relaxing at the beach? Answer:,"Trees, maybe?",Sunscreen.,2
http://images.cocodataset.org/train2017/000000005615.jpg,Question: How is the sandwich and its accompaniments arranged on the plate? Answer:,"This is a sandwich which consists of sliced mushrooms, cheese, tomato, red onion, and a roasted red pepper spread atop a tomato.",The sandwich is cut in half,2
http://images.cocodataset.org/train2017/000000577830.jpg,Question: What can you infer about the atmosphere of this gathering? Answer:,Warm and pleasant,Dinner is served!,2
http://images.cocodataset.org/train2017/000000393176.jpg,"Question: How would you describe the overall organization of the books, photos, and scissors in the image? Answer:",Excellent,Organized,1
http://images.cocodataset.org/train2017/000000321635.jpg,Question: What seems to be the focus of this gathering? Answer:,Computers,A machine that can be used to make digital images,2
http://images.cocodataset.org/train2017/000000471995.jpg,Question: What risks and challenges do skateboarders face when practicing in this park? Answer:,,the risks are high as the park is not built to accomodate the many skaters that use the facility,2
http://images.cocodataset.org/train2017/000000237658.jpg,Question: What potential risks does the skateboarder face during the trick at the skate park? Answer:,There is the potential risk of crashing on the ramps,"None, the skateboarder is wearing very protective gear",2
http://images.cocodataset.org/train2017/000000119101.jpg,Question: What could be some possible reasons for having a darkly lit living room with a large picture window? Answer:,The living room could be a theater room or a bedroom in the home the house is in,It's probably because it's daylight out there and the sun is shining in the window,2
http://images.cocodataset.org/train2017/000000410175.jpg,Question: Can you describe the main features of this image for me? Answer:,the sky in the foreground and the mountain behind them,This is a picture of a group of people skiing or snowboarding on a hill on the mountain,2
http://images.cocodataset.org/train2017/000000210752.jpg,Question: What is this photo about'? Answer:,Some desserts,"this photo is about a small table with many small plates, pies and cakes",1
http://images.cocodataset.org/train2017/000000117283.jpg,Question: What could be a theme for a unique event featuring these motorcycles? Answer:,Art,A motorcycle rally,1
http://images.cocodataset.org/train2017/000000183611.jpg,Question: What challenges might these bears face in their natural habitat? Answer:,"Many bears like their surroundings to be relatively still & tranquil. They don't like people to disturb the natural order of things. They're happy & often a-visiting in nature sanctuaries or other facilities. It helps keep their numbers low,",,2
http://images.cocodataset.org/train2017/000000090122.jpg,Question: What is the purpose of the barstools in the kitchen? Answer:,To add some glamour with a glass of wine next,for the convenience of the guests,2
http://images.cocodataset.org/train2017/000000443749.jpg,"Question: What kind of an area is depicted in the picture - rural, suburban, or urban? Answer:","None! The picture was taken in the rainy weather outside of a Chase Bank in Boston, MA, on Thursday, September 17, 2015. This is a typical street scene in the city",Rural,2
http://images.cocodataset.org/train2017/000000360399.jpg,Question: Write a detailed description of the given image. Answer:,,The skateboard is in the air,1
http://images.cocodataset.org/train2017/000000115515.jpg,Question: What can you infer about the airplane from the image? Answer:,that maybe it's enroute from barcelona to an airport,It's a jetliner,2
http://images.cocodataset.org/train2017/000000116326.jpg,Question: Describe the following image. Answer:,An image of a room of people seated at a table eating their meals inside with a tv showing in the background.,A large group of people sitting around a table eating food,1
http://images.cocodataset.org/train2017/000000523405.jpg,Question: What kind of interaction or behavior might these three birds be displaying? Answer:,The birds are probably standing here to get more sun,Sand Pigeons,2
http://images.cocodataset.org/train2017/000000024520.jpg,Question: What are the key steps they need to consider to maintain a safe cooking environment in the kitchen? Answer:,The key factors of safe food handling is to: keep foods cold: wash food before and after preparing it; keep food and utensils separated; use utensils in a clean way; clean utensils immediately after serving food; and use,they need to talk about it,1
http://images.cocodataset.org/train2017/000000406924.jpg,Question: Can you elaborate on the elements of the picture provided? Answer:,the large kites flying above the sand and below the sign and beach,"I do not know if I can. I took this photo in the early morning and on the beach, the elements are light and shadows.",2
http://images.cocodataset.org/train2017/000000127871.jpg,"Question: How might a toilet bowl end up on the side of the road, and what does that say about the situation in the image? Answer:",it says more about where the toilet bowl is now than the situation at the time when this was taken,a toilet.,2
http://images.cocodataset.org/train2017/000000422866.jpg,Question: What is the relationship between the food items on the plate and a balanced diet? Answer:,A good one,It's all about balance.,2
http://images.cocodataset.org/train2017/000000076856.jpg,Question: What can one infer about the person sleeping in this bed? Answer:,"Probably not much at all, unless you have some insight","the person is a heavy sleeper, and has a tendency to wake up during the night.",2
http://images.cocodataset.org/train2017/000000036123.jpg,"Question: What type of setting could this image be taken in? For example, a classroom, office, or conference? Answer:",Outdoor,"Outdoor event, with indoor lighting.",2
http://images.cocodataset.org/train2017/000000327157.jpg,Question: What should be done to improve the bedroom's appearance? Answer:,Use wallpaper on the wall,Use a table,1
http://images.cocodataset.org/train2017/000000523164.jpg,Question: What is this photo about'? Answer:,Three kids at the big table,kids eating pancakes,2
http://images.cocodataset.org/train2017/000000238905.jpg,Question: What factors could affect the success of the baseball player's swing in this particular situation? Answer:,"The batter's view, the catcher's view, and the batter's height could all be factors on how the batter's swing performs, resulting in different outcomes","The batter's stance, the pitcher's speed, the catcher's speed, the batter's ability to handle the ball, and the field conditions",2
http://images.cocodataset.org/train2017/000000140426.jpg,Question: What precautions should the owner of the boat consider for its safety? Answer:,Make sure it goes into a lake with water in it before going into the water,Boat is not in a good condition,2
http://images.cocodataset.org/train2017/000000481796.jpg,Question: Explain the visual content of the image in great detail. Answer:,"The monitor is showing the computer with all the programs on it, and the mouse is over two monitor. The desk is set up with a monitor and the keyboard and mouse on top of a desk with a table and papers on it.",The computer screen is displaying the report with the number of the car in the bottom right hand corner,2
http://images.cocodataset.org/train2017/000000259715.jpg,Question: What do you think is going on in this snapshot? Answer:,Motorcycle racing,Motorcycles racing around a bend,2
http://images.cocodataset.org/train2017/000000359778.jpg,Question: What advice can be given to ensure these skateboarders have an enjoyable and safe experience during the competition? Answer:,"You can take them to a skating park first to learn tricks, and then the judges will decide if they have improved enough skillwise to try out the competition at the actual day of the competition",Keep your eyes on the prize,2
http://images.cocodataset.org/train2017/000000056118.jpg,Question: Why can skateboarding on handrails be dangerous? Answer:,For a better view of the action,Because it can be,2
http://images.cocodataset.org/train2017/000000266773.jpg,Question: Is skateboarding popular as a mode of transportation or just for leisure and exercise? Answer:,I'm not sure.,Both,2
http://images.cocodataset.org/train2017/000000136764.jpg,Question: What could be the possible uses of an armoire or wardrobe in a bedroom? Answer:,in case of having a guest (you),It's a great place to put your clothes!,2
http://images.cocodataset.org/train2017/000000461908.jpg,Question: What additional challenge might the woman face while decorating the cake? Answer:,Her life is on the line,"In her desire to make the cake look just right, the woman will be adding icing to the cake",2
http://images.cocodataset.org/train2017/000000041305.jpg,Question: What are the benefits of having a buffet-style picnic by the water? Answer:,"Plenty of opportunities to get wet, and to eat well, when nature is calling","Better food, less work, and more fun",2
http://images.cocodataset.org/train2017/000000286525.jpg,"Question: What decorative elements are there in the bathroom, aside from the standard fixtures? Answer:",none (photo courtesy of homeadvisor.com),"the sinks, the mirrors, the towels, the shower curtain, the tub, the toilet, the sink faucets and the floor tiles",2
http://images.cocodataset.org/train2017/000000472938.jpg,Question: What's happening in the scene? Answer:,A man sitting outside reading a book on a bench with a tree growing on it,The owner of the house is taking a break in the backyard,2
http://images.cocodataset.org/train2017/000000305573.jpg,Question: What can we infer about the likely utility and importance of bicycles in this setting? Answer:,"If one is a good rider, and if it's a safe place, bicycle traffic can be a nuisance because there may be too many riders occupying the same space. The rider in the background appears to be wearing an expensive dress for some purpose with a",What can we infer about the likely utility and importance of bicycles in this setting?,2
http://images.cocodataset.org/train2017/000000253831.jpg,Question: Why is the polar bear's location unusual? Answer:,They are rare!,It is not unusual at all. Polar bears are found in every part of the world where the ice freezes,2
http://images.cocodataset.org/train2017/000000294838.jpg,Question: What architectural feature provides storage in the living room? Answer:,"A sliding door and large closet, with shelves and glass shelves",The built-in bookshelf,2
http://images.cocodataset.org/train2017/000000363038.jpg,Question: What can be inferred about this cat's behavior or personality? Answer:,Cats have personalities,That it feels secure in its surroundings and that it is a peaceful creature,2
http://images.cocodataset.org/train2017/000000389472.jpg,Question: What is this photo about'? Answer:,This is a picture of bananas and fruit and a glass of orange juice all wrapped in foil,"Food, of course!",2
http://images.cocodataset.org/train2017/000000083268.jpg,Question: What challenges do the skier and snowboarder face while performing aerial leaps? Answer:,many opportunities and different types,"Challenges in their ability to hold their breath while performing such a high - risk, high - reward act.",1
http://images.cocodataset.org/train2017/000000363468.jpg,Question: Analyze the image in a comprehensive and detailed manner. Answer:,The room is furnished in a manner that may be comfortable for the viewer,A woman sitting in a living room,2
http://images.cocodataset.org/train2017/000000124736.jpg,"Question: Considering the choice of attire and the location, what could be the reason behind this man's presence in the wilderness? Answer:","I am a professional guide to this area, and this was a shot of me looking out of the window of my office",He's just enjoying the view,2
http://images.cocodataset.org/train2017/000000571618.jpg,Question: Is the shower a stand-up shower only or a shower-tub combination? Answer:,Most people think that a stand-up shower is a,It's a stand-up shower,2
http://images.cocodataset.org/train2017/000000242431.jpg,Question: What unusual eating habit does the girl display? Answer:,"The ""carnitas"" has a lot of toppings and vegetables",Eating more than the plate will accommodate,2
http://images.cocodataset.org/train2017/000000233401.jpg,Question: What possible reasons might be there for the man's excited jump in the image? Answer:,,A man jumping off a bridge with a suitcase,1
http://images.cocodataset.org/train2017/000000246084.jpg,Question: What can be inferred about the atmosphere of the workspace in the image? Answer:,it's pleasant,people working & playing,2
http://images.cocodataset.org/train2017/000000109515.jpg,Question: What kind of place is the image taken in and what are its typical features? Answer:,Skateboard park,A skateboarding park,1
http://images.cocodataset.org/train2017/000000161027.jpg,"Question: Is the ""Do Not Enter"" sign painted on the curb or on the pavement of the driveway? Answer:",On the pavement by the curb in front of a curb cut with a white and yellow striped curb on the right side,On the pavement,2
http://images.cocodataset.org/train2017/000000402172.jpg,Question: What are some possible skills or techniques she might be using while playing tennis in the image? Answer:,A woman swinging an racquet,A girl is swinging her racket,2
http://images.cocodataset.org/train2017/000000393227.jpg,Question: How might the skateboarder's experience be affected by the headphones he's wearing? Answer:,Perhaps you're asking that because you can't quite figure out how that affects the skateboarder's ability to do his job - and this is good practice indeed,I'm not sure,2
http://images.cocodataset.org/train2017/000000128428.jpg,Question: What other ingredients might some people want to add before cooking these pizzas? Answer:,Not sure,Tomatoes with mushrooms and spinach,1
http://images.cocodataset.org/train2017/000000382320.jpg,"Question: What precautions should be taken by the bus, pedestrians, and other vehicles during this rainy weather? Answer:",Watch carefully,"The pedestrians should practice safe crossing, the driver should slow down, and the pedestrians should be alert",2
http://images.cocodataset.org/train2017/000000275970.jpg,Question: What can you infer about the abundance and variety of fruits at this market stand? Answer:,"It's a market, and fruits and vegetables are sold at various prices",It is a fruit market in Vietnam,2
http://images.cocodataset.org/train2017/000000149343.jpg,Question: Is there anything else in the image besides the hot dogs and foil? Answer:,no,No,1
http://images.cocodataset.org/train2017/000000278357.jpg,Question: Why might someone choose to sit on the bench in this scene? Answer:,,They are enjoying the view,1
http://images.cocodataset.org/train2017/000000031497.jpg,Question: What is unique about the design of the airplane in the image? Answer:,the planes wings,It is an airbus a320,2
http://images.cocodataset.org/train2017/000000557725.jpg,Question: What are some of the skills or techniques needed to be a successful surfer? Answer:,"I do things the hard way""","The following:

 1) The ability to surf.

 2) The ability to not get thrown off the board.

 1) The ability to surf.",2
http://images.cocodataset.org/train2017/000000054749.jpg,Question: Are the signs placed on the ground or held by the protesters? Answer:,Both,Both,2
http://images.cocodataset.org/train2017/000000292690.jpg,Question: What kind of meal does the combination of food represent? Answer:,It represents a healthy meal,a meal,1
http://images.cocodataset.org/train2017/000000104846.jpg,"Question: Based on his current position, what should the man do if he wants to start snowboarding down the slope? Answer:",It depends,He should stop.,2
http://images.cocodataset.org/train2017/000000578533.jpg,Question: What else can be seen on the trays apart from the barbecue sandwich? Answer:,Chicken and a few other things,The trays also hold drinks and condiments,2
http://images.cocodataset.org/train2017/000000308527.jpg,Question: Explain the visual content of the image in great detail. Answer:,The elephant herd in the background are walking toward the sun rising behind the trees,the elephants are feeding while the birds gather in the background,2
http://images.cocodataset.org/train2017/000000431764.jpg,Question: What implications could the presence of the two yellow trains near a rural station have on the local community or economy? Answer:,,It's a good question,2
http://images.cocodataset.org/train2017/000000196299.jpg,Question: What could be the reason for having a laptop and wine in the library? Answer:,Work.,Because it's a library,1
http://images.cocodataset.org/train2017/000000288694.jpg,Question: Can you discuss the possible context of this image? Answer:,I don't know yet,"In this context, the girl is carrying a baseball bat.",2
http://images.cocodataset.org/train2017/000000511988.jpg,Question: What is the purpose of the formation of police officers on motorcycles? Answer:,To police the parade,To keep us safe.,2
http://images.cocodataset.org/train2017/000000050028.jpg,Question: How might she be feeling in this snowy environment? Answer:,She doesn't feel crap!,she's probably feeling very happy about being outside,2
http://images.cocodataset.org/train2017/000000357755.jpg,Question: What advice would you offer to someone planning a horseback ride on the beach? Answer:,"Bring a towel, plenty of sunscreen, a bottle of water and a camera!",Be sure to check the salt levels in the sand before approaching the water,2
http://images.cocodataset.org/train2017/000000505279.jpg,Question: What tips can be given to someone who wants to learn a similar water sport like the man in the image? Answer:,Surf!,He's doing it wrong.,2
http://images.cocodataset.org/train2017/000000227184.jpg,Question: What could be one reason for the potted plant being displayed in this manner? Answer:,Flowerpot in a small courtyard,Flowers for a funeral,2
http://images.cocodataset.org/train2017/000000211116.jpg,Question: What role does this large yellow truck play in construction projects? Answer:,To lift heavy equipment down into the work site,it's a crane!,2
http://images.cocodataset.org/train2017/000000367716.jpg,Question: What may be a challenge for a person who is unfamiliar with these remotes? Answer:,The user must first review and test each item on the remote prior to use.,This is a challenge for anyone unfamiliar with these remotes.,2
http://images.cocodataset.org/train2017/000000255056.jpg,Question: What is the atmosphere and setting like at the beach where the kite is being flown? Answer:,"Bright sunshine, breezy day, nice & mild. Nice & breezy to fly that kite.","A beach, with a kite flying at the beach, with a child flying a kite at the beach, with sand and water at the beach",2
http://images.cocodataset.org/train2017/000000258642.jpg,Question: What potential issue could the bus's front window cause while driving on the road? Answer:,"In the event of vandalism, the window could be broken or even smashed.",,2
http://images.cocodataset.org/train2017/000000435473.jpg,Question: Why might these two elephants engage in this behavior? Answer:,"They are playing, as these elephants are territorial, and their behaviour means they cannot cross the lines of one another's territories",To show dominance and their ability to assert themselves.,2
http://images.cocodataset.org/train2017/000000041389.jpg,Question: What precautions should these surfers take before hitting the waves? Answer:,they should take no precautions,"Stay safe, stay dry and stay hydrated",2
http://images.cocodataset.org/train2017/000000185834.jpg,Question: What can be inferred about the atmosphere in the living room? Answer:,The family is getting ready for christmas,"A Christmas tree, fireplace, and television",2
http://images.cocodataset.org/train2017/000000530069.jpg,Question: Can you elaborate on the elements of the picture provided? Answer:,People standing on the street waiting on a bus,"Yes, I can agree that the elements of the picture provided are a green and brown bus stopped on the street with people walking by",2
http://images.cocodataset.org/train2017/000000310498.jpg,Question: What difficulties might a rider face when parking their motorcycle in such a location? Answer:,They would have to be really adept to avoid the traffic and have a very well equipped bike in order to park in the way it is parked,Not much,2
http://images.cocodataset.org/train2017/000000543608.jpg,Question: What potential concerns could arise from having a herd of elephants walking down a city street? Answer:,Lots! It is a serious matter.,The potential for the elephants to charge and/or trampling someone,2
http://images.cocodataset.org/train2017/000000294346.jpg,Question: What do you think is going on in this snapshot? Answer:,The refregerator,A man smiling while he is eating at a restaurant.,2
http://images.cocodataset.org/train2017/000000484278.jpg,Question: What are the implications of people frequently using cell phones while standing or walking on sidewalks? Answer:,it's not a good idea to take up a sidewalk at night,It is a safety issue,2
